Provincia,Población (miles),Hogares (miles),Ingresos laborales (miles pesos),Tasa de empleo (%),Superficie (km2),Exportaciones (mill usd)
Ciudad autónoma de buenos aires,3.004,1.263,211.877.384,"4,7","205,9","311,163"
Buenos aires,17.292,5.738,623.250.917,"8,7","305.907,40","33024,657"
Catamarca,336.0,102.0,8.460.986,"7,3","101.486,10","201,03"
Chaco,3.477,1.251,122.790.341,"6,5","99.763,30","516,336"
Chubut,967.0,287.0,24.733.558,"5,3","224.302,30","2575,372"
Córdoba,1.044,321.0,22.744.468,"2,6","164.707,80","12851,979"
Corrientes,591.0,205.0,30.606.036,"3,6","89.123,30","273,185"
Entre ríos,1.252,431.0,40.510.249,"6,4","78.383,70","1911,902"
Formosa,509.0,148.0,9.586.123,"3,3","75.488,30","40,614"
Jujuy,696.0,197.0,17.044.750,"5,1","53.244,20","873,44"
La pampa,317.0,116.0,12.180.994,"6,9","143.492,50","1205,864"
La rioja,356.0,108.0,8.646.574,"4,5","91.493,70","186,786"
Mendoza,1.668,535.0,51.306.457,"6,2","149.069,20","1601,428"
Misiones,1.003,342.0,29.639.104,"3,3","29.911,40","438,241"
Neuquén,612.0,204.0,28.573.541,5,94.422,"2912,27"
Río negro,687.0,260.0,,6,"202.168,60","460,058"
Salta,1.307,355.0,33.247.155,"6,6","155.340,50","1326,821"
San juan,699.0,202.0,23.036.779,"3,1","88.296,20","1162,933"
San luis,308.08,148.0,14.056.915,"1,7","75.347,10","879,344"
Santa cruz,379.0,133.0,19.517.125,"5,1","244.457,50","2242,114"
Santa fe,3.311,1.215,135.661.847,"5,4","133.249,10","19162,52"
Santiago del estero,730.0,213.0,16.504.869,3.0 ,"136.934,30","1545,387"
Tucumán,1.403,403.0,34.757.143,"6,3","910.324,40","953,715"
Tierra del fuego,172.0,60.0,12.059.449,110,"22.592,10","382,966"
